time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF
4335,0,1.0,1.0,0,5.0,0,5.0,21.97597350495064,0.330179972311952,0,5.0,0,5.0,38.59732960986466,0.328719723183391,0,5.0,0,5.0,30.995017058097655,0.3271804337794186,0,5.0,0,5.0,22.10083647816582,0.3284890426758939,0,5.0,0,5.0,8.264616682338621,0.4873096446700508
4336,0,1.0,1.0,0,6.0,0,6.0,22.106986986385923,0.33025830258302585,0,6.0,0,6.0,35.38290678009944,0.328719723183391,0,6.0,0,6.0,30.2623908291412,0.3271804337794186,0,6.0,0,6.0,21.734185718982456,0.3284890426758939,0,6.0,0,6.0,8.737176511208746,0.48731549815498154
4337,0,1.0,1.0,0,7.0,0,7.0,22.01560342745041,0.33025830258302585,0,7.0,0,7.0,36.39533718500929,0.3287987087848743,0,7.0,0,7.0,31.085249039783427,0.3271804337794186,0,7.0,0,7.0,21.596807209955205,0.3284890426758939,0,7.0,0,7.0,8.124982663231416,0.48731549815498154
4338,0,1.0,1.0,0,8.0,0,8.0,21.945443682215537,0.33025830258302585,0,8.0,0,8.0,33.96969227990645,0.3287987087848743,0,8.0,0,8.0,31.012183445036936,0.3271804337794186,0,8.0,0,8.0,21.404334843807945,0.3284923928077455,0,8.0,0,8.0,7.717844896785726,0.48732134624250806
4339,0,1.0,1.0,0,9.0,0,9.0,21.95183400782684,0.3302604286702005,0,9.0,0,9.0,32.6384618577689,0.32887762157179073,0,9.0,0,9.0,30.807102488789354,0.3271804337794186,0,9.0,0,9.0,22.10000366796238,0.3284923928077455,0,9.0,0,9.0,7.262898453030626,0.48732134624250806
4340,0,1.0,1.0,0,10.0,0,10.0,21.640410045654573,0.3302604286702005,0,10.0,0,10.0,31.30200442237402,0.32887762157179073,0,10.0,0,10.0,30.67586646519548,0.3271804337794186,0,10.0,0,10.0,21.69664972293421,0.3284923928077455,0,10.0,0,10.0,7.539930904175706,0.4873271889400922
4341,0,1.0,1.0,0,11.0,0,11.0,21.83069953971599,0.3302604286702005,0,11.0,0,11.0,31.643395186655702,0.3289564616447823,0,11.0,0,11.0,30.794375621108735,0.3271804337794186,0,11.0,0,11.0,21.832781783554854,0.32849573830914536,0,11.0,0,11.0,7.605975406785437,0.4873271889400922
4342,0,1.0,1.0,0,12.0,0,12.0,22.255494794145154,0.33026255181943803,0,12.0,0,12.0,30.04806355344704,0.3289564616447823,0,12.0,0,12.0,31.20028999652556,0.3271804337794186,0,12.0,0,12.0,21.726014658598,0.32849573830914536,0,12.0,0,12.0,7.501102804948654,0.48733302625518193
4343,0,1.0,1.0,0,13.0,0,13.0,21.537323509059476,0.33026255181943803,0,13.0,0,13.0,29.35927916411008,0.32903522910430577,0,13.0,0,13.0,31.323064178825742,0.3271804337794186,0,13.0,0,13.0,21.777287501044682,0.32849573830914536,0,13.0,0,13.0,7.26072658314321,0.48733302625518193
4344,0,1.0,1.0,0,14.0,0,14.0,22.268538576460912,0.33026255181943803,0,14.0,0,14.0,28.238152501763405,0.32903522910430577,0,14.0,0,14.0,30.7884388506581,0.3271804337794186,0,14.0,0,14.0,21.816450413816384,0.3284990791896869,0,14.0,0,14.0,7.326863455761317,0.4873388581952118
4345,0,1.0,1.0,0,15.0,0,15.0,22.031788451100443,0.3302646720368239,0,15.0,0,15.0,27.256310022539996,0.3291139240506329,0,15.0,0,15.0,31.065997762128777,0.3271804337794186,0,15.0,0,15.0,21.976506081595566,0.3284990791896869,0,15.0,0,15.0,7.3618137271860205,0.4873388581952118
4346,0,1.0,1.0,0,16.0,0,16.0,21.60772628191017,0.3302646720368239,0,16.0,0,16.0,26.160083251009976,0.32926829268292684,0,16.0,0,16.0,31.429634910490833,0.3271804337794186,0,16.0,0,16.0,21.520187167920263,0.3284990791896869,0,16.0,0,16.0,7.711189796475478,0.4873446847676024
4347,0,1.0,1.0,0,17.0,0,17.0,21.381131873183804,0.3302646720368239,0,17.0,0,17.0,25.143035116585267,0.32926829268292684,0,17.0,0,17.0,30.876738250076905,0.3271804337794186,0,17.0,0,17.0,21.798090047554684,0.3285024154589372,0,17.0,0,17.0,7.371123417032791,0.4873446847676024
4348,0,1.0,1.0,0,18.0,0,18.0,21.928106554600745,0.33026678932842685,0,18.0,0,18.0,25.12539987260176,0.32934682612695493,0,18.0,0,18.0,30.882111597539474,0.3271804337794186,0,18.0,0,18.0,21.7799581380428,0.3285024154589372,0,18.0,0,18.0,7.4969785491621455,0.4873446847676024
4349,0,1.0,1.0,0,19.0,0,19.0,21.78721002035093,0.33026678932842685,0,19.0,0,19.0,24.207546339381185,0.32934682612695493,0,19.0,0,19.0,30.89218908239057,0.3271804337794186,0,19.0,0,19.0,21.458937389146165,0.32858128305357553,0,19.0,0,19.0,7.439009857940628,0.48723844561968266
4350,0,1.0,1.0,0,20.0,0,20.0,21.943561959632156,0.33026678932842685,0,20.0,0,20.0,23.80581436372132,0.3294252873563218,0,20.0,0,20.0,31.226168920791924,0.3271804337794186,0,20.0,0,20.0,21.321123283115845,0.32858128305357553,0,20.0,0,20.0,7.504096194976741,0.48723844561968266
4351,0,1.0,1.0,0,21.0,0,21.0,21.82810459251441,0.33026890370029877,0,21.0,0,21.0,23.488473709975754,0.3294252873563218,0,21.0,0,21.0,31.154135588561193,0.3271804337794186,0,21.0,0,21.0,21.87617599577715,0.32858128305357553,0,21.0,0,21.0,7.680214394056469,0.48723844561968266
4352,0,1.0,1.0,0,22.0,0,22.0,21.838697955938475,0.33026890370029877,0,22.0,0,22.0,22.481596213045727,0.32950367647058826,0,22.0,0,22.0,31.350620745945402,0.3271804337794186,0,22.0,0,22.0,21.87191542259186,0.32858455882352944,0,22.0,0,22.0,7.400850762749773,0.48713235294117646
4353,0,1.0,1.0,0,23.0,0,23.0,21.764466407752323,0.33026890370029877,0,23.0,0,23.0,21.83630412810209,0.32950367647058826,0,23.0,0,23.0,30.723717642929746,0.3271804337794186,0,23.0,0,23.0,22.023120976110683,0.32858455882352944,0,23.0,0,23.0,7.44618879635627,0.48713235294117646
4354,0,1.0,1.0,0,24.0,0,24.0,22.102294085556508,0.33027101515847496,0,24.0,0,24.0,21.904427556713497,0.3295819935691318,0,24.0,0,24.0,30.919646208725496,0.3271804337794186,0,24.0,0,24.0,22.12188255244364,0.32858455882352944,0,24.0,0,24.0,7.754735236043497,0.48713235294117646
4355,0,1.0,1.0,0,25.0,0,25.0,22.21504032008861,0.33027101515847496,0,25.0,0,25.0,21.70665656554022,0.3295819935691318,0,25.0,0,25.0,31.309606886667474,0.3258323765786452,0,25.0,0,25.0,21.813277310005816,0.32858455882352944,0,25.0,0,25.0,7.477983468403301,0.4870264064293915
4356,0,1.0,1.0,0,26.0,0,26.0,22.08425257970897,0.33027101515847496,0,26.0,0,26.0,22.354975846602468,0.32966023875114786,0,26.0,0,26.0,31.24110986274129,0.3258323765786452,0,26.0,0,26.0,21.86140600635683,0.3285123966942149,0,26.0,0,26.0,7.271137380886464,0.4870264064293915
4357,0,1.0,1.0,0,27.0,0,27.0,21.808799968756517,0.33027312370897405,0,27.0,0,27.0,21.677338202872516,0.32966023875114786,0,27.0,0,27.0,31.231876133239165,0.3259123249942621,0,27.0,0,27.0,21.927499860764435,0.3285123966942149,0,27.0,0,27.0,7.681302833320416,0.4870323617167776
4358,0,1.0,1.0,0,28.0,0,28.0,22.089569581005534,0.33027312370897405,0,28.0,0,28.0,21.680932147581803,0.32973841211564936,0,28.0,0,28.0,30.991639270843674,0.3259123249942621,0,28.0,0,28.0,22.003050513281913,0.3285123966942149,0,28.0,0,28.0,7.763082758269508,0.4870323617167776
4359,0,1.0,1.0,0,29.0,0,29.0,22.201826679204963,0.33027312370897405,0,29.0,0,29.0,22.72310673043592,0.32973841211564936,0,29.0,0,29.0,30.987934962203898,0.3259922000458821,0,29.0,0,29.0,21.839042187654076,0.3285157146134435,0,29.0,0,29.0,7.593966687456083,0.4870323617167776
4360,0,1.0,1.0,0,30.0,0,30.0,21.59206525613966,0.3302752293577982,0,30.0,0,30.0,24.179164203156382,0.32973841211564936,0,30.0,0,30.0,31.023463907167113,0.32614678899082566,0,30.0,0,30.0,22.09408205429458,0.3285157146134435,0,30.0,0,30.0,7.4377662741749955,0.48692660550458716
4361,0,1.0,1.0,0,31.0,0,31.0,21.915933738333585,0.3302752293577982,0,31.0,0,31.0,26.581294351026987,0.32973841211564936,0,31.0,0,31.0,31.17115017493058,0.32614678899082566,0,31.0,0,31.0,22.447433026787525,0.3285943590919514,0,31.0,0,31.0,7.3550578088536325,0.48692660550458716
4362,1,1.0,1.0,0,32.0,0,32.0,21.73484038332146,0.3302752293577982,0,32.0,0,32.0,28.490418301137016,0.32973841211564936,0,32.0,0,32.0,31.37626324973726,0.32622650160476846,0,32.0,0,32.0,21.51916089542609,0.3285943590919514,0,32.0,0,32.0,7.831319603553465,0.48692660550458716
4363,1,1.0,1.0,0,33.0,0,33.0,22.206639352947818,0.33027733211093285,0,33.0,0,33.0,29.37105642866363,0.32973841211564936,0,33.0,0,33.0,31.211603704967587,0.32622650160476846,0,33.0,0,33.0,21.80985253646764,0.3285943590919514,0,33.0,0,33.0,8.445761371316198,0.4868209947283979
4364,2,1.0,1.0,0,34.0,0,34.0,22.056543662340967,0.33027733211093285,0,34.0,0,34.0,31.075172470916172,0.32973841211564936,0,34.0,0,34.0,31.28536617632386,0.32630614115490375,0,34.0,0,34.0,21.888347060347222,0.3285943590919514,0,34.0,0,34.0,8.827431145980157,0.48693858845096244
4365,2,1.0,1.0,0,35.0,0,35.0,21.764643268482587,0.33027733211093285,0,35.0,0,35.0,32.698216992180214,0.32973841211564936,0,35.0,0,35.0,31.242060717047607,0.32630614115490375,0,35.0,0,35.0,21.763800863285844,0.32852233676975945,0,35.0,0,35.0,8.540217481126485,0.48693858845096244
4366,2,1.0,1.0,0,36.0,0,36.0,21.81455453123434,0.3302794319743472,0,36.0,0,36.0,34.803492930706724,0.32973841211564936,0,36.0,0,36.0,31.983023265792536,0.32630614115490375,0,36.0,0,36.0,22.001266204865885,0.32852233676975945,0,36.0,0,36.0,9.114542501360356,0.4869445716903344
4367,3,1.0,1.0,0,37.0,0,37.0,21.95544114147661,0.3302794319743472,0,37.0,0,37.0,34.99877829119429,0.32973841211564936,0,37.0,0,37.0,31.29144967724653,0.32631096862834896,0,37.0,0,37.0,21.55373615591115,0.32852233676975945,0,37.0,0,37.0,8.54204412546265,0.4869445716903344
4368,4,1.0,1.0,0,38.0,0,38.0,21.434679784199236,0.33035714285714285,0,38.0,0,38.0,36.58198035316476,0.32973841211564936,0,38.0,0,38.0,32.49880578021265,0.32631096862834896,0,38.0,0,38.0,21.95473732029525,0.328525641025641,0,38.0,0,38.0,8.452875256861544,0.4869445716903344
4369,4,1.0,1.0,0,39.0,0,39.0,21.662880726765795,0.33035714285714285,0,39.0,0,39.0,36.44004611366513,0.32973841211564936,0,39.0,0,39.0,32.39647274024454,0.32639047837033647,0,39.0,0,39.0,21.745918804882532,0.328525641025641,0,39.0,0,39.0,8.264788259243442,0.4868390936140993
4370,4,1.0,1.0,0,40.0,0,40.0,22.35915098048041,0.33035714285714285,0,40.0,0,40.0,39.05908398249454,0.32973841211564936,0,40.0,0,40.0,32.55372074661678,0.32639047837033647,0,40.0,0,40.0,21.81974431682353,0.328525641025641,0,40.0,0,40.0,9.187895402316567,0.48695652173913045
4371,4,1.0,1.0,0,41.0,0,41.0,21.78440567320082,0.33035714285714285,0,41.0,0,41.0,40.9254720999749,0.32973841211564936,0,41.0,0,41.0,33.14201650153495,0.32639047837033647,0,41.0,0,41.0,21.936827566594857,0.3285289407458247,0,41.0,0,41.0,8.925895305488046,0.48695652173913045
4372,5,1.0,1.0,0,42.0,0,42.0,21.584415795271294,0.3302836230558097,0,42.0,0,42.0,41.95248804352903,0.32973841211564936,0,42.0,0,42.0,33.20607534332687,0.32639524245196705,0,42.0,0,42.0,21.672026421646805,0.3285289407458247,0,42.0,0,42.0,8.447693579798084,0.4869624885635865
4373,5,1.0,1.0,0,43.0,0,43.0,22.181309782809972,0.3302836230558097,0,43.0,0,43.0,44.68089804294277,0.32973841211564936,0,43.0,0,43.0,34.88373323193758,0.32639524245196705,0,43.0,0,43.0,22.94877956731974,0.3285289407458247,0,43.0,0,43.0,8.666008592946968,0.4869624885635865
4374,5,1.0,1.0,0,44.0,0,44.0,21.755549837160263,0.3302836230558097,0,44.0,0,44.0,47.42934645312692,0.32973841211564936,0,44.0,0,44.0,34.67383515739854,0.32647462277091904,0,44.0,0,44.0,21.455280054062502,0.32853223593964337,0,44.0,0,44.0,8.278249621218054,0.4869684499314129
4375,6,1.0,1.0,0,45.0,0,45.0,22.08652118341835,0.3302857142857143,0,45.0,0,45.0,51.554521662785156,0.32973841211564936,0,45.0,0,45.0,36.863520810470284,0.32647462277091904,0,45.0,0,45.0,21.913243082305186,0.32853223593964337,0,45.0,0,45.0,8.351965387384883,0.4869684499314129
4376,7,1.0,1.0,0,46.0,0,46.0,21.726718243814382,0.3302857142857143,0,46.0,0,46.0,49.35702524443729,0.32973841211564936,0,46.0,0,46.0,36.97130534472527,0.3265539305301645,0,46.0,0,46.0,21.727715319671354,0.32853223593964337,0,46.0,0,46.0,8.037242897805381,0.4869744058500914
4377,7,1.0,1.0,0,47.0,0,47.0,21.891608452292267,0.3302857142857143,0,47.0,0,47.0,54.07728905150843,0.32973841211564936,0,47.0,0,47.0,37.16272943172988,0.3265539305301645,0,47.0,0,47.0,21.854885482307644,0.32853552661640395,0,47.0,0,47.0,7.98289419346197,0.4870916152615947
4378,7,1.0,1.0,0,48.0,0,48.0,21.76428870097296,0.3302878026496117,0,48.0,0,48.0,52.634661237041605,0.32973841211564936,0,48.0,0,48.0,36.89919669592823,0.32663316582914576,0,48.0,0,48.0,21.356698303359845,0.32853552661640395,0,48.0,0,48.0,7.5723782863597435,0.4870916152615947
4379,8,1.0,1.0,0,49.0,0,49.0,21.683543852037698,0.3302878026496117,0,49.0,0,49.0,54.80894150985255,0.32973841211564936,0,49.0,0,49.0,38.01781498534103,0.32663316582914576,0,49.0,0,49.0,21.886391276351677,0.32853552661640395,0,49.0,0,49.0,7.407548289399124,0.4870975108472254
4380,8,1.0,1.0,0,50.0,0,50.0,21.704332956318996,0.3302878026496117,0,50.0,0,50.0,58.07530236246966,0.32973841211564936,0,50.0,0,50.0,38.88366478787051,0.3267123287671233,0,50.0,0,50.0,22.08060497505157,0.3285388127853881,0,50.0,0,50.0,7.800614696054713,0.4870975108472254
4381,8,1.0,1.0,8.0,8.0,8.0,8.0,21.992555215630954,0.3302898881533896,8.0,8.0,8.0,8.0,52.97464677284423,0.32823556265692766,0,51.0,0,51.0,40.75419404435873,0.3267123287671233,0,51.0,8.0,8.0,22.019998209093725,0.3285388127853881,0,51.0,0,51.0,8.330782182849083,0.48710340104998856
4382,7,1.0,1.0,7.0,9.0,7.0,9.0,22.03670056778692,0.3302898881533896,7.0,9.0,7.0,9.0,56.56313353376842,0.32823556265692766,7.0,9.0,7.0,9.0,40.41434936451693,0.32679141944317663,7.0,9.0,7.0,9.0,22.11154022474555,0.3286170698311273,7.0,9.0,7.0,9.0,8.176466467737436,0.48710340104998856
4383,6,1.0,1.0,6.0,10.0,6.0,10.0,21.63864766794161,0.3302898881533896,6.0,10.0,6.0,10.0,58.68923329229501,0.32823556265692766,6.0,10.0,6.0,10.0,44.36325322949287,0.32679141944317663,6.0,10.0,6.0,10.0,21.43285996305729,0.3286170698311273,6.0,10.0,6.0,10.0,8.640450729427712,0.487109285877253
4384,5,1.0,1.0,5.0,5.0,5.0,5.0,22.24260637601103,0.3302919708029197,5.0,5.0,5.0,5.0,53.13612874630122,0.3282390510948905,5.0,11.0,5.0,5.0,41.806421436156334,0.3268704379562044,5.0,11.0,5.0,5.0,21.870812456466957,0.3286170698311273,5.0,11.0,5.0,11.0,8.327253942832796,0.487109285877253
4385,5,1.0,1.0,4.0,6.0,4.0,6.0,21.61558743729561,0.3302919708029197,4.0,6.0,4.0,6.0,53.51978514027302,0.3282390510948905,4.0,6.0,4.0,6.0,44.739609250505794,0.3268704379562044,4.0,6.0,4.0,6.0,21.834736230420464,0.3286170698311273,4.0,6.0,4.0,6.0,8.587846649027393,0.487115165336374
4386,5,1.0,1.0,3.0,7.0,3.0,7.0,21.430300503398403,0.3302919708029197,3.0,7.0,3.0,7.0,55.612021478373464,0.3282390510948905,3.0,7.0,3.0,7.0,41.29145331874899,0.32694938440492477,3.0,7.0,3.0,7.0,21.807265904902298,0.3285453716370269,3.0,7.0,3.0,7.0,8.632955837090915,0.48723210214318285
4387,4,1.0,1.0,4.0,4.0,4.0,4.0,21.576718746888933,0.3302940506040574,4.0,4.0,4.0,4.0,53.43005404324161,0.3282425347617962,2.0,8.0,4.0,4.0,39.366103373853676,0.32694938440492477,2.0,8.0,4.0,4.0,22.012060439227916,0.3285453716370269,2.0,8.0,2.0,8.0,8.479778318219399,0.48723210214318285
4388,4,1.0,1.0,3.0,5.0,3.0,5.0,21.479087583397455,0.3302940506040574,3.0,5.0,3.0,5.0,51.27458082619477,0.3282425347617962,3.0,5.0,3.0,5.0,37.73882361540871,0.327028258887876,3.0,5.0,3.0,5.0,22.063922068585605,0.3285453716370269,3.0,5.0,3.0,5.0,8.49891400094791,0.48723792160437557
4389,3,1.0,1.0,3.0,3.0,3.0,3.0,21.793981487740503,0.3302940506040574,3.0,3.0,3.0,3.0,52.22767949172142,0.3283208020050125,2.0,6.0,3.0,3.0,35.39052586607612,0.327028258887876,2.0,6.0,3.0,3.0,21.706948971797207,0.32854864433811803,2.0,6.0,2.0,6.0,8.173249460623005,0.48723792160437557
4390,3,1.0,1.0,2.0,4.0,2.0,4.0,22.012495235460925,0.33029612756264237,2.0,4.0,2.0,4.0,46.67429810396901,0.3283208020050125,2.0,4.0,2.0,4.0,32.94080979919274,0.32710706150341684,2.0,4.0,2.0,4.0,21.40656158243188,0.32854864433811803,2.0,4.0,2.0,4.0,8.212997712819321,0.48724373576309793
4391,3,1.0,1.0,3.0,3.0,3.0,3.0,21.561695147929424,0.33029612756264237,3.0,3.0,3.0,3.0,47.96511958935304,0.328398997950353,1.0,5.0,3.0,3.0,31.457807870355307,0.32710706150341684,1.0,5.0,3.0,3.0,21.888113949750757,0.32862673650649055,1.0,5.0,1.0,5.0,8.234353428050737,0.48736051013436577
4392,3,1.0,1.0,2.0,4.0,2.0,4.0,21.843636706433685,0.33029612756264237,2.0,4.0,2.0,4.0,47.46112604100616,0.328398997950353,2.0,4.0,2.0,4.0,31.715400799371896,0.3271857923497268,2.0,4.0,2.0,4.0,22.00941483012677,0.32862673650649055,2.0,4.0,2.0,4.0,8.409140303974285,0.48736051013436577
4393,2,1.0,1.0,2.0,2.0,2.0,2.0,22.110281982466244,0.3302982016844981,2.0,2.0,2.0,2.0,44.5600161257239,0.3284771226951969,2.0,2.0,2.0,2.0,31.100542879366113,0.3271857923497268,1.0,5.0,2.0,2.0,21.94509785492944,0.32862673650649055,1.0,5.0,1.0,5.0,8.160763677312444,0.4873662645117232
