time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF
31,0,0.0,0.55,0,100000,0,100000,21.489918550757917,0.0,0,100000,0,100000,22.094062785198258,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0.0,0.55,0,100000,0,100000,22.25520387029665,0.0,0,100000,0,100000,21.838207757701095,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0.030303030303030304,0.55,0,100000,0,100000,21.919333765049974,0.0,0,100000,0,100000,21.626246969236615,0.030303030303030304,0,100000,0,100000,31.70902797850876,0.0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0.029411764705882353,0.55,0,100000,0,100000,21.73796026765379,0.029411764705882353,0,100000,0,100000,21.907289360707537,0.030303030303030304,0,100000,0,100000,29.719704472170378,0.0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0.02857142857142857,0.55,0,100000,0,100000,22.150705468189415,0.029411764705882353,0,100000,0,100000,22.226973104305294,0.030303030303030304,0,100000,0,100000,30.082147252524265,0.0,0,100000,0,100000,22.460950822985712,0.0,0,0,0,0,0,0
36,0,0.05555555555555555,0.55,0,100000,0,100000,21.869753822978645,0.029411764705882353,0,100000,0,100000,21.968138148054884,0.05555555555555555,0,100000,0,100000,31.018444305315175,0.0,0,100000,0,100000,21.744564616333037,0.0,0,0,0,0,0,0
37,0,0.05405405405405406,0.55,0,100000,0,100000,22.35814975705267,0.05405405405405406,0,100000,0,100000,21.975175032903486,0.05555555555555555,0,100000,0,100000,30.813064669074002,0.0,0,100000,0,100000,22.09874837106371,0.0,0,0,0,0,0,0
38,0,0.05263157894736842,0.55,0,100000,0,100000,21.597644449107317,0.05405405405405406,0,100000,0,100000,22.064389789116937,0.05555555555555555,0,100000,0,100000,31.71877214996261,0.0,0,100000,0,100000,22.66536761829351,0.0,0,0,0,0,0,0
39,0,0.07692307692307693,0.55,0,100000,0,100000,21.64431009085028,0.05405405405405406,0,100000,0,100000,21.70873658663123,0.07692307692307693,0,100000,0,100000,31.25545089852265,0.0,0,100000,0,100000,21.747612405815705,0.0,0,0,0,0,0,0
40,0,0.075,0.55,0,100000,0,100000,21.69852123393765,0.075,0,100000,0,100000,21.9184767560677,0.07692307692307693,0,100000,0,100000,34.094645946218584,0.0,0,100000,0,100000,22.566224351481377,0.0,0,0,0,0,0,0
41,0,0.07317073170731707,0.55,0,100000,0,100000,22.061783793375067,0.075,0,100000,0,100000,22.67505280303087,0.07692307692307693,0,100000,0,100000,31.785486015169784,0.0,0,100000,0,100000,22.226046347665967,0.0,0,0,0,0,0,0
42,0,0.07142857142857142,0.55,0,100000,0,100000,21.579756963180735,0.075,0,100000,0,100000,23.30597029095852,0.07692307692307693,0,100000,0,100000,30.558989706771847,0.0,0,100000,0,100000,22.600628852677897,0.0,0,0,0,0,0,0
43,0,0.06976744186046512,0.55,0,100000,0,100000,22.153421861492756,0.09302325581395349,0,100000,0,100000,25.34514244425575,0.07692307692307693,0,100000,0,100000,30.799403717977057,0.0,0,100000,0,100000,22.084480617283887,0.0,0,0,0,0,0,0
44,0,0.06818181818181818,0.55,0,100000,0,100000,22.173902175904725,0.09302325581395349,0,100000,0,100000,26.137086902575405,0.07692307692307693,0,100000,0,100000,31.71226136290152,0.0,0,100000,0,100000,21.843534799254115,0.0,0,0,0,0,0,0
45,0,0.06666666666666667,0.55,0,100000,0,100000,22.093930317544846,0.09302325581395349,0,100000,0,100000,26.542146222311896,0.07692307692307693,0,100000,0,100000,30.537960435993767,0.0,0,100000,0,100000,21.991369222133986,0.0,0,0,0,0,0,0
46,0,0.06521739130434782,0.55,0,100000,0,100000,21.81668488264591,0.10869565217391304,0,100000,0,100000,29.09695591137231,0.07692307692307693,0,100000,0,100000,30.66871464784703,0.0,0,100000,0,100000,22.14038980536355,0.0,0,0,0,0,0,0
47,0,0.06382978723404255,0.55,0,100000,0,100000,21.9052687859103,0.10869565217391304,0,100000,0,100000,28.86285307288013,0.07692307692307693,0,100000,0,100000,32.024248017749336,0.0,0,100000,0,100000,21.665659592150007,0.0,0,0,0,0,0,0
48,0,0.0625,0.55,0,100000,0,100000,21.59861127313318,0.125,0,100000,0,100000,30.69285672758008,0.07692307692307693,0,100000,0,100000,30.636464564723934,0.0,0,100000,0,100000,21.720949726210954,0.0,0,0,0,0,0,0
49,0,0.061224489795918366,0.55,0,100000,0,100000,21.73393909757042,0.125,0,100000,0,100000,32.573277453020076,0.07692307692307693,0,100000,0,100000,30.456084407185077,0.0,0,100000,0,100000,21.94816258779116,0.0,0,0,0,0,0,0
50,0,0.06,0.55,0,100000,0,100000,21.784331343587194,0.125,0,100000,0,100000,33.05479778461286,0.07692307692307693,0,100000,0,100000,30.80255634026965,0.0,0,100000,0,100000,21.831548446821117,0.0,0,0,0,0,0,0
51,0,0.058823529411764705,0.55,0,100000,0,100000,21.924363174754514,0.125,0,100000,0,100000,35.08049005784395,0.07692307692307693,0,100000,0,100000,30.827602159150143,0.0,0,100000,0,100000,21.98743573928204,0.0,0,0,0,0,0,0
52,0,0.057692307692307696,0.55,0,100000,0,100000,21.92964447198334,0.1346153846153846,0,100000,0,100000,37.79613482475488,0.07692307692307693,0,100000,0,100000,29.888722213501755,0.0,0,100000,0,100000,21.47508743985324,0.0,0,0,0,0,0,0
53,0,0.05660377358490566,0.55,0,100000,0,100000,21.956071659533475,0.1346153846153846,0,100000,0,100000,38.49094890568472,0.07692307692307693,0,100000,0,100000,30.54711849865634,0.0,0,100000,0,100000,21.684535609578486,0.0,0,0,0,0,0,0
54,0,0.05555555555555555,0.55,0,100000,0,100000,21.787945397702078,0.1346153846153846,0,100000,0,100000,40.482788419775396,0.07692307692307693,0,100000,0,100000,30.674641010598638,0.0,0,100000,0,100000,21.866408733350852,0.0,0,0,0,0,0,0
55,0,0.05454545454545454,0.55,0,100000,0,100000,21.52493596704156,0.14545454545454545,0,100000,0,100000,43.61696719174006,0.07692307692307693,0,100000,0,100000,31.67788510347037,0.0,0,100000,0,100000,21.743461044540815,0.0,0,0,0,0,0,0
56,0,0.05357142857142857,0.55,0,100000,0,100000,21.801412502333324,0.14545454545454545,0,100000,0,100000,46.73663744235057,0.07692307692307693,0,100000,0,100000,31.997754349364975,0.0,0,100000,0,100000,21.52206658779977,0.0,0,0,0,0,0,0
57,0,0.05263157894736842,0.55,0,100000,0,100000,22.053113080423074,0.15789473684210525,0,100000,0,100000,44.67660765288419,0.07692307692307693,0,100000,0,100000,31.733581758057877,0.0,0,100000,0,100000,21.783416856674883,0.017543859649122806,0,100000,0,100000,7.554885675359183,0.0
58,0,0.05172413793103448,0.55,0,100000,0,100000,22.004320516621647,0.15789473684210525,0,100000,0,100000,48.24358899742986,0.07692307692307693,0,100000,0,100000,31.182269118051842,0.0,0,100000,0,100000,21.86080532170413,0.017543859649122806,0,100000,0,100000,7.786534048026541,0.0
59,0,0.05084745762711865,0.55,0,100000,0,100000,21.781170891716485,0.15789473684210525,0,100000,0,100000,46.91134960923357,0.07692307692307693,0,100000,0,100000,31.871299245572306,0.0,0,100000,0,100000,21.932852151150367,0.03389830508474576,0,100000,0,100000,7.370877664968204,0.0
60,0,0.05,0.55,0,100000,0,100000,21.544611096255835,0.16666666666666666,0,100000,0,100000,49.08894037946159,0.07692307692307693,0,100000,0,100000,31.873732781835223,0.0,0,100000,0,100000,21.878352007583906,0.03389830508474576,0,100000,0,100000,7.313482551946271,0.0
61,6,0.06557377049180328,0.55,6.0,6.0,6.0,6.0,21.56123461129507,0.16666666666666666,6.0,6.0,6.0,6.0,50.93324542152418,0.06557377049180328,0,100000,0,100000,30.317263767341842,0.0,0,100000,6.0,6.0,21.855037777895518,0.03389830508474576,0,100000,0,100000,7.382883126327623,0.0
62,6,0.06451612903225806,0.55,5.934426229508197,6.4844262295081965,5.934426229508197,6.4844262295081965,21.783027931055,0.16666666666666666,5.934426229508197,6.4844262295081965,5.934426229508197,6.4844262295081965,47.20558342346525,0.06557377049180328,0,100000,0,100000,30.398026495283204,0.0,0,100000,5.934426229508197,6.4844262295081965,21.810107553888066,0.03389830508474576,0,100000,0,100000,7.247793168903387,0.0
63,6,0.06349206349206349,0.55,5.868852459016393,6.968852459016394,5.868852459016393,6.968852459016394,21.555877598576643,0.1746031746031746,5.868852459016393,6.968852459016394,5.868852459016393,6.968852459016394,49.27506313209153,0.06557377049180328,0,100000,5.868852459016393,6.968852459016394,36.14287572788901,0.0,0,100000,5.868852459016393,6.968852459016394,21.682495625615413,0.047619047619047616,0,100000,0,100000,7.470328511201696,0.0
64,5,0.078125,0.55,,,,,21.582568448668095,0.1746031746031746,,,,,49.30364941324083,0.078125,0,100000,,,35.245576617315535,0.015625,0,100000,,,21.770075688710413,0.047619047619047616,0,100000,0,100000,7.282949092052705,0.0
65,5,0.07692307692307693,0.55,,,,,22.005521240365113,0.1746031746031746,,,,,50.79902802391785,0.078125,0,100000,,,37.61659887161735,0.015625,0,100000,,,21.905927413582898,0.06153846153846154,0,100000,0,100000,7.639695157761497,0.015384615384615385
66,3,0.09090909090909091,0.55,,,,,21.57445310745082,0.18181818181818182,,,,,46.58379028740852,0.09090909090909091,0,100000,,,35.069808295317486,0.015625,0,100000,,,21.665432283600943,0.06153846153846154,0,100000,0,100000,7.943679638742728,0.015384615384615385
67,3,0.08955223880597014,0.55,,,,,21.918937540770077,0.18181818181818182,,,,,44.96034646128381,0.09090909090909091,0,100000,,,35.448203831509225,0.015625,0,100000,,,21.912849565451637,0.06153846153846154,0,100000,0,100000,7.677415727306829,0.029850746268656716
68,2,0.10294117647058823,0.55,,,,,21.948992878565058,0.18181818181818182,,,,,41.92978416434521,0.10294117647058823,0,100000,,,33.09529944882369,0.029411764705882353,0,100000,,,21.735987834449887,0.07352941176470588,0,100000,0,100000,7.742807720999212,0.029850746268656716
69,2,0.10144927536231885,0.55,,,,,21.879895285586315,0.18840579710144928,,,,,40.83181484581833,0.10294117647058823,0,100000,,,33.066610903909606,0.029411764705882353,0,100000,,,22.244834297454815,0.07352941176470588,0,100000,0,100000,8.027553974463954,0.029850746268656716
70,2,0.1,0.55,,,,,22.270085255786842,0.18840579710144928,,,,,40.43747566688287,0.10294117647058823,0,100000,,,31.759433907737233,0.029411764705882353,0,100000,,,22.493391253319757,0.07352941176470588,0,100000,0,100000,8.047395482810458,0.029850746268656716
71,2,0.11267605633802817,0.55,,,,,21.850706189648673,0.18840579710144928,,,,,38.07882035452963,0.11267605633802817,,,,,32.581214335582345,0.04225352112676056,,,,,21.501184803577075,0.08450704225352113,,,,,7.961169038003892,0.04225352112676056
72,2,0.125,0.55,,,,,21.824721384925983,0.19444444444444445,,,,,37.25628977880113,0.125,,,,,31.573177968469707,0.04225352112676056,,,,,21.51791575125838,0.08450704225352113,,,,,8.366122772569588,0.05555555555555555
73,2,0.1232876712328767,0.55,,,,,21.57967269904781,0.19444444444444445,,,,,37.212345893349855,0.125,,,,,31.46611729887669,0.04225352112676056,,,,,21.960971159769937,0.08450704225352113,,,,,8.358242560706751,0.05555555555555555
74,2,0.13513513513513514,0.55,,,,,21.871901790200962,0.19444444444444445,,,,,34.49398795507019,0.13513513513513514,,,,,31.18271925950136,0.04225352112676056,,,,,21.658519696262832,0.08450704225352113,,,,,8.156873665055674,0.06756756756756757
75,2,0.13333333333333333,0.55,5.081967213114754,5.129411764705883,5.081967213114754,5.129411764705883,21.76218115513704,0.2,5.081967213114754,5.129411764705883,5.081967213114754,5.129411764705883,34.26636688723786,0.13513513513513514,5.081967213114754,5.129411764705883,5.081967213114754,5.129411764705883,31.350963803567772,0.04225352112676056,5.081967213114754,5.129411764705883,5.081967213114754,5.129411764705883,22.058735398230723,0.09333333333333334,5.081967213114754,5.129411764705883,5.081967213114754,5.129411764705883,7.811621417558079,0.06756756756756757
76,2,0.14473684210526316,0.55,5.016393442622951,5.576470588235295,5.016393442622951,5.576470588235295,22.07892674166161,0.2,5.016393442622951,5.576470588235295,5.016393442622951,5.576470588235295,33.15429189300813,0.14473684210526316,5.016393442622951,5.576470588235295,5.016393442622951,5.576470588235295,31.03747118629511,0.04225352112676056,5.016393442622951,5.576470588235295,5.016393442622951,5.576470588235295,22.22137689900895,0.09333333333333334,5.016393442622951,5.576470588235295,5.016393442622951,5.576470588235295,7.6985784805318485,0.07894736842105263
77,2,0.14285714285714285,0.55,4.950819672131147,6.023529411764707,4.950819672131147,6.023529411764707,21.670420605893344,0.2,4.950819672131147,6.023529411764707,4.950819672131147,6.023529411764707,29.537545170008816,0.14473684210526316,4.950819672131147,6.023529411764707,4.950819672131147,6.023529411764707,31.00857091178357,0.04225352112676056,4.950819672131147,6.023529411764707,4.950819672131147,6.023529411764707,22.05094321063698,0.1038961038961039,4.950819672131147,6.023529411764707,4.950819672131147,6.023529411764707,7.6796103611864766,0.09090909090909091
78,2,0.15384615384615385,0.55,4.885245901639344,6.470588235294119,4.885245901639344,6.470588235294119,21.46531704909558,0.20512820512820512,4.885245901639344,6.470588235294119,4.885245901639344,6.470588235294119,29.580257067342007,0.15384615384615385,4.885245901639344,6.470588235294119,4.885245901639344,6.470588235294119,31.426604459451944,0.04225352112676056,4.885245901639344,6.470588235294119,4.885245901639344,6.470588235294119,21.64963843998598,0.1038961038961039,4.885245901639344,6.470588235294119,4.885245901639344,6.470588235294119,7.6176489555678675,0.09090909090909091
79,2,0.1518987341772152,0.55,4.8196721311475414,6.917647058823531,4.8196721311475414,6.917647058823531,21.607691094608192,0.20512820512820512,4.8196721311475414,6.917647058823531,4.8196721311475414,6.917647058823531,28.531334210704298,0.15384615384615385,4.8196721311475414,6.917647058823531,4.8196721311475414,6.917647058823531,31.250630887413642,0.04225352112676056,4.8196721311475414,6.917647058823531,4.8196721311475414,6.917647058823531,21.577129949561545,0.1038961038961039,4.8196721311475414,6.917647058823531,4.8196721311475414,6.917647058823531,7.649949792887261,0.10126582278481013
