time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF
3399,5,0.1462194763165637,0.5,3.9764150943396226,7.476415094339623,5.0,5.0,21.497841588893312,0.13755522827687777,5.0,5.0,5.0,5.0,159.87060842743207,0.1462194763165637,1.781758957654723,12.781758957654723,5.0,5.0,31.000746006150376,0.23771697558105326,1.781758957654723,12.781758957654723,2.9527326440177255,9.952732644017726,21.394532898815388,0.13659110980276715,0.7575667655786349,15.257566765578636,0.7575667655786349,15.257566765578636,7.926208082649588,0.3456899087967049
3400,5,0.1461764705882353,0.5,3.830188679245283,7.830188679245283,4.853780523683437,5.353780523683437,21.991189556633014,0.13755522827687777,4.853780523683437,5.353780523683437,3.830188679245283,7.830188679245283,125.69607181178911,0.1462194763165637,1.635475273911756,13.135475273911757,4.853780523683437,5.353780523683437,30.937126633257297,0.23771697558105326,1.635475273911756,13.135475273911757,2.806499261447563,10.306499261447563,22.279174357438283,0.13659110980276715,0.611275964391691,15.611275964391693,0.611275964391691,15.611275964391693,8.011356399135298,0.3456899087967049
3401,5,0.14613349014995589,0.5,3.6839622641509435,8.183962264150942,4.707561047366872,5.707561047366872,21.655345201918237,0.13755522827687777,4.707561047366872,5.707561047366872,3.6839622641509435,8.183962264150942,131.44853957689912,0.1462194763165637,1.4891915901687889,13.489191590168788,4.707561047366872,5.707561047366872,33.26864305386181,0.23771697558105326,1.4891915901687889,13.489191590168788,2.6602658788774005,10.6602658788774,21.46631724602019,0.13659110980276715,0.4649851632047479,15.964985163204748,0.4649851632047479,15.964985163204748,7.644260377751413,0.3456899087967049
3402,5,0.14609053497942387,0.5,4.561341571050309,6.061341571050309,4.561341571050309,6.061341571050309,21.474208563100067,0.13756613756613756,4.561341571050309,6.061341571050309,3.5377358490566038,8.537735849056602,138.27248455243245,0.1462194763165637,1.3429079064258218,13.842907906425822,4.561341571050309,6.061341571050309,32.75790348900315,0.23771697558105326,1.3429079064258218,13.842907906425822,2.5140324963072382,11.014032496307237,21.877130518369604,0.13659110980276715,0.318694362017804,16.318694362017805,0.318694362017804,16.318694362017805,7.914315651986506,0.3456899087967049
3403,5,0.1460476050543638,0.5,4.4151220947337455,6.415122094733745,4.4151220947337455,6.415122094733745,25.493221235082974,0.13756613756613756,4.4151220947337455,6.415122094733745,3.3915094339622645,8.891509433962264,154.72583596385414,0.1462194763165637,1.1966242226828547,14.196624222682855,4.4151220947337455,6.415122094733745,31.350410370807925,0.23771697558105326,1.1966242226828547,14.196624222682855,3.3915094339622645,8.891509433962264,21.458900185541307,0.13659110980276715,0.17240356083086006,16.672403560830862,0.17240356083086006,16.672403560830862,7.724927608894953,0.3456899087967049
3404,5,0.14600470035252644,0.5,4.268902618417181,6.768902618417181,4.268902618417181,6.768902618417181,24.30585753271674,0.13756613756613756,4.268902618417181,6.768902618417181,4.268902618417181,6.768902618417181,156.61258103488652,0.1462194763165637,1.0503405389398877,14.550340538939887,4.268902618417181,6.768902618417181,31.034851331110048,0.23766157461809637,1.0503405389398877,14.550340538939887,3.2452830188679247,9.245283018867925,21.939407468892117,0.13660399529964748,0.026112759643917016,17.026112759643915,1.0503405389398877,14.550340538939887,7.731332101999266,0.345475910693302
3405,5,0.14596182085168868,0.5,4.122683142100618,7.122683142100618,4.122683142100618,7.122683142100618,22.35805837070127,0.13756613756613756,4.122683142100618,7.122683142100618,4.122683142100618,7.122683142100618,166.54789561399753,0.1462194763165637,0.9040568551969201,14.90405685519692,4.122683142100618,7.122683142100618,32.95530151887218,0.23766157461809637,0.9040568551969201,14.90405685519692,3.099056603773585,9.599056603773585,21.10321782997,0.13660399529964748,0,17.379821958456972,0.9040568551969201,14.90405685519692,8.395203732473684,0.34566813509544786
3406,5,0.14591896652965355,0.5,3.976463665784054,7.476463665784054,3.976463665784054,7.476463665784054,21.475675076841384,0.13756613756613756,3.976463665784054,7.476463665784054,3.976463665784054,7.476463665784054,169.50923208241306,0.1462194763165637,0.7577731714539535,15.257773171453954,3.976463665784054,7.476463665784054,32.21540798053175,0.23766157461809637,0.7577731714539535,15.257773171453954,2.952830188679245,9.952830188679245,22.074389660983538,0.13660399529964748,0,17.73353115727003,0.7577731714539535,15.257773171453954,8.550012694393976,0.34566813509544786
3407,5,0.14616965071910773,0.5,3.83024418946749,7.83024418946749,5.0,5.0,22.27328618193387,0.13756613756613756,5.0,5.0,2.806603773584906,10.306603773584905,134.85492484164527,0.14616965071910773,0.611489487710986,15.611489487710987,5.0,5.0,32.07817560106508,0.23774581743469328,0.611489487710986,15.611489487710987,2.806603773584906,10.306603773584905,22.404290317188817,0.13660399529964748,0.611489487710986,15.611489487710987,0.611489487710986,15.611489487710987,8.327444982524915,0.345758732022307
3408,5,0.14612676056338028,0.5,3.6840247131509267,8.184024713150926,4.8538303492808925,5.3538303492808925,21.417544701381647,0.13756613756613756,4.8538303492808925,5.3538303492808925,3.6840247131509267,8.184024713150926,145.63079466323722,0.14616965071910773,0.46520580396801936,15.965205803968018,4.8538303492808925,5.3538303492808925,33.983528023603995,0.23774581743469328,0.46520580396801936,15.965205803968018,2.660377358490566,10.660377358490566,21.90628291501033,0.13660399529964748,0.46520580396801936,15.965205803968018,0.46520580396801936,15.965205803968018,7.981736381883435,0.345758732022307
3409,5,0.14608389557054854,0.5,3.537805236834363,8.537805236834362,4.707660698561784,5.707660698561785,24.3943730694986,0.13756613756613756,4.707660698561784,5.707660698561785,3.537805236834363,8.537805236834362,149.10035127203665,0.14616965071910773,0.31892212022505184,16.318922120225054,4.707660698561784,5.707660698561785,33.005466654851624,0.23774581743469328,0.31892212022505184,16.318922120225054,2.5141509433962264,11.014150943396226,22.378878419089624,0.13660399529964748,0.31892212022505184,16.318922120225054,0.31892212022505184,16.318922120225054,7.483831959204536,0.345758732022307
3410,5,0.14604105571847506,0.5,3.391585760517799,8.891585760517799,4.561491047842677,6.061491047842677,23.66803349289459,0.13756613756613756,4.561491047842677,6.061491047842677,3.391585760517799,8.891585760517799,152.014495309732,0.14616965071910773,3.391585760517799,8.891585760517799,4.561491047842677,6.061491047842677,32.694202635247244,0.2378299120234604,1.3441654357459383,13.844165435745937,2.367924528301887,11.367924528301886,21.671940955208193,0.13665689149560117,0.17263843648208432,16.672638436482085,0.17263843648208432,16.672638436482085,7.566343175330384,0.345758732022307
3411,5,0.14599824098504838,0.5,4.415321397123569,6.415321397123569,4.415321397123569,6.415321397123569,22.950445185625547,0.13749633538551745,4.415321397123569,6.415321397123569,4.415321397123569,6.415321397123569,150.1388276279089,0.14616965071910773,3.2453662842012356,9.245366284201236,4.415321397123569,6.415321397123569,31.583705257826303,0.2378299120234604,1.197932053175776,14.197932053175775,2.2216981132075473,11.721698113207546,22.84109774899625,0.13665689149560117,0.026354752739117693,17.026354752739117,0.026354752739117693,17.026354752739117,7.493385393569086,0.345758732022307
