time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,AtoBSpeed,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,BtoASpeed,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,AtoCSpeed,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,BtoCSpeed,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF,CtoCrightSpeed
1646,2,0.3238153098420413,0.55,0,11.317601246105921,0,11.317601246105921,21.905414737272373,0.3266423357664234,13.202215227083654,0,11.317601246105921,0,11.317601246105921,38.2189565875514,0.3261933904528764,7.566925573635299,0,11.317601246105921,0,11.317601246105921,32.86909410060402,0.31713244228432563,12.481025450362539,0,11.317601246105921,0,11.317601246105921,21.68796498454914,0.3219927095990279,13.334584420715858,0,11.317601246105921,0,11.317601246105921,7.986943662537984,0.478419452887538,12.335131454864129
1647,2,0.323618700667881,0.55,0,11.544859813084114,0,11.544859813084114,21.57645707690662,0.32665452337583484,13.403498033490033,0,11.544859813084114,0,11.544859813084114,39.00745281345527,0.3261933904528764,7.413967822586024,0,11.544859813084114,0,11.544859813084114,33.23506972065923,0.31713244228432563,12.343587765816869,0,11.544859813084114,0,11.544859813084114,22.19937276693369,0.3219927095990279,13.027395099683533,0,11.544859813084114,0,11.544859813084114,7.884098855800876,0.4784456587735276,12.496038139794763
1648,2,0.3234223300970874,0.55,0,11.772118380062308,0,11.772118380062308,22.147419438537515,0.32665452337583484,13.057954711273444,0,11.772118380062308,0,11.772118380062308,40.78958718549514,0.3261933904528764,7.0900447872843415,0,11.772118380062308,0,11.772118380062308,32.68872751585595,0.31735436893203883,12.54989200179204,0,11.772118380062308,0,11.772118380062308,21.600628169052417,0.3219927095990279,13.388499525876831,0,11.772118380062308,0,11.772118380062308,7.926560532709028,0.4784456587735276,12.429098294708817
1649,2,0.3232261976955731,0.55,0,11.999376947040501,0,11.999376947040501,21.69373843522028,0.32665452337583484,13.33103562871751,0,11.999376947040501,0,11.999376947040501,42.39084345805729,0.3261933904528764,6.822228019268895,0,11.999376947040501,0,11.999376947040501,32.490881472528436,0.31735436893203883,12.62631179603005,0,11.999376947040501,0,11.999376947040501,21.627401935266008,0.32201334141904187,13.371925156133782,0,11.999376947040501,0,11.999376947040501,8.289749722455136,0.47847180109157067,11.884556626978817
1650,2,0.32303030303030306,0.55,0,12.226635514018694,0,12.226635514018694,21.83738314371468,0.32666666666666666,13.24334505177369,0,12.226635514018694,0,12.226635514018694,42.2503392591951,0.3261933904528764,6.844915450875588,0,12.226635514018694,0,12.226635514018694,32.9232359575546,0.31757575757575757,12.46050055738418,0,12.226635514018694,0,12.226635514018694,22.21925801905491,0.32201334141904187,13.015736157885485,0,12.226635514018694,0,12.226635514018694,7.811036222249254,0.47847180109157067,12.612923202093452
1651,3,0.3234403391883707,0.55,0,12.453894080996887,3.0,3.0,21.83374061670586,0.32666666666666666,13.24555444149234,3.0,3.0,0,12.453894080996887,41.17535214596441,0.3234403391883707,7.023619348167358,0,12.453894080996887,0,12.453894080996887,35.089682776851326,0.31757575757575757,11.691185771295586,0,12.453894080996887,0,12.453894080996887,21.625526804790102,0.32222895215021197,13.373084624044466,0,12.453894080996887,0,12.453894080996887,8.328044079017015,0.47849788007268323,11.829908567394208
1652,3,0.32324455205811137,0.55,0,12.68115264797508,2.6765596608116295,3.2265596608116294,21.604704273135532,0.32666666666666666,13.385973552047508,2.6765596608116295,3.2265596608116294,0,12.68115264797508,41.9671026620617,0.3234403391883707,6.891111886583418,0,12.68115264797508,0,12.68115264797508,34.07488302906442,0.3177966101694915,12.039366346469418,0,12.68115264797508,0,12.68115264797508,21.80063324594251,0.32222895215021197,13.265669704976359,0,12.68115264797508,0,12.68115264797508,8.672663018784709,0.4788135593220339,11.359832589668116
1653,3,0.32304900181488205,0.55,0,12.908411214953272,2.3531193216232587,3.4531193216232587,21.61443085375145,0.32667876588021777,13.379949810235496,2.3531193216232587,3.4531193216232587,0,12.908411214953272,40.70636859635472,0.3234403391883707,7.104539411700262,0,12.908411214953272,2.3531193216232587,3.4531193216232587,38.709395260354206,0.3177966101694915,10.597943916219325,0,12.908411214953272,0,12.908411214953272,21.620379439033638,0.32222895215021197,13.376268479260617,0,12.908411214953272,0,12.908411214953272,8.7495632696983,0.4788135593220339,11.259990580466669
1654,3,0.32285368802902054,0.55,0,13.135669781931465,2.0296789824348878,3.679678982434888,21.995668629449135,0.32667876588021777,13.148043138493252,2.0296789824348878,3.679678982434888,0,13.135669781931465,41.69004633839415,0.3234403391883707,6.936907617050628,0,13.135669781931465,2.0296789824348878,3.679678982434888,41.32654130670321,0.3177966101694915,9.926792492878144,0,13.135669781931465,0,13.135669781931465,21.849633514097036,0.3222490931076179,13.235919944076533,0,13.135669781931465,0,13.135669781931465,9.722310088174979,0.4788391777509069,10.133394132308904
1655,2,0.32326283987915405,0.55,0,13.362928348909659,2.0,2.0,21.857479146786034,0.32667876588021777,13.231168976891121,2.0,2.0,1.7062386432465173,3.9062386432465175,41.509722908289326,0.32326283987915405,6.9670424117008,0,13.362928348909659,2.0,2.0,42.4634790549216,0.31782477341389725,9.661007744311341,0,13.362928348909659,0,13.362928348909659,21.697333535978053,0.3222490931076179,13.328826766683322,0,13.362928348909659,0,13.362928348909659,9.529785984950303,0.4788391777509069,10.338112540573887
