time,queue length n,outflow,inflow,AtoB Lead st,AtoB Lead ut,AtoB last st,AtoB last ut,AtoBTT,AtoBEF,BtoA Lead st,BtoA Lead ut,BtoA last st,BtoA last ut,BtoATT,BtoAEF,AtoC Lead st,AtoC Lead ut,AtoC last st,AtoC last ut,AtoCTT,AtoCEF,BtoC Lead st,BtoC Lead ut,BtoC last st,BtoC last ut,BtoCTT,BtoCEF,CtoCright Lead st,CtoCright Lead ut,CtoCright last st,CtoCright last ut,CtoCrightTT,CtoCrightEF
1275,0,0.14431372549019608,0.5,0,10.958299919807539,0,10.958299919807539,22.798162422233865,0.0332541567695962,0,10.958299919807539,0,10.958299919807539,150.48625918973374,0.14465408805031446,0,10.958299919807539,0,10.958299919807539,32.59810956178698,0.25510204081632654,0,0,0,0,0,0,0,10.958299919807539,0,10.958299919807539,7.504301250138153,0.27372549019607845
1276,1,0.14420062695924765,0.5,0,11.313953488372093,0,11.313953488372093,21.727367131614056,0.0332541567695962,0,11.313953488372093,0,11.313953488372093,171.3809540583032,0.14465408805031446,0,11.313953488372093,0,11.313953488372093,32.160660564154384,0.25510204081632654,0,0,0,0,0,0,0,11.313953488372093,0,11.313953488372093,7.679256065951231,0.27372549019607845
1277,1,0.14408770555990602,0.5,0,11.669607056936648,0,11.669607056936648,21.766206741193752,0.0332541567695962,0,11.669607056936648,0,11.669607056936648,186.24955370680777,0.14465408805031446,0,11.669607056936648,0,11.669607056936648,31.06208876297013,0.25510204081632654,0,0,0,0,0,0,0,11.669607056936648,0,11.669607056936648,7.33649147080018,0.27372549019607845
1278,1,0.14397496087636932,0.5,0,12.025260625501202,0,12.025260625501202,20.86848075651245,0.0332541567695962,0,12.025260625501202,0,12.025260625501202,199.80213978104004,0.14465408805031446,0,12.025260625501202,0,12.025260625501202,32.1373981467422,0.25508607198748046,0,0,0,0,0,0,0,12.025260625501202,0,12.025260625501202,7.5931927563927255,0.27386541471048514
1279,0,0.14464425332290853,0.5,0,12.380914194065758,0,12.380914194065758,22.363692097948633,0.0332541567695962,0,12.380914194065758,0,12.380914194065758,150.76629748521188,0.14464425332290853,0,12.380914194065758,0,12.380914194065758,31.70622415182999,0.25508607198748046,0,0,0,0,0,0,0,12.380914194065758,0,12.380914194065758,7.537329407145236,0.27443315089913994
1280,0,0.14453125,0.5,0,12.736567762630314,0,12.736567762630314,21.34826339040026,0.0332541567695962,0,12.736567762630314,0,12.736567762630314,157.25578132394398,0.14464425332290853,0,12.736567762630314,0,12.736567762630314,32.06166500936637,0.25546875,0,0,0,0,0,0,0,12.736567762630314,0,12.736567762630314,7.478010876813344,0.27443315089913994
1281,0,0.1444184231069477,0.5,0,13.092221331194867,0,13.092221331194867,22.888196244960035,0.0332541567695962,0,13.092221331194867,0,13.092221331194867,155.7168362199218,0.14464425332290853,0,13.092221331194867,0,13.092221331194867,33.422990671863786,0.25546875,0,0,0,0,0,0,0,13.092221331194867,0,13.092221331194867,7.5833943278567775,0.27443315089913994
1282,0,0.14430577223088922,0.5,0,13.447874899759423,0,13.447874899759423,21.85447616902586,0.0332541567695962,0,13.447874899759423,0,13.447874899759423,156.65980533835835,0.14464425332290853,0,13.447874899759423,0,13.447874899759423,32.64556998356282,0.25546875,0,0,0,0,0,0,0,13.447874899759423,0,13.447874899759423,7.433774391472132,0.2745709828393136
1283,0,0.1441932969602494,0.5,0,13.803528468323977,0,13.803528468323977,22.51822654674321,0.0332541567695962,0,13.803528468323977,0,13.803528468323977,169.92420562966646,0.14464425332290853,0,13.803528468323977,0,13.803528468323977,32.536803074271084,0.25565081839438814,0,0,0,0,0,0,0,13.803528468323977,0,13.803528468323977,7.479831310984459,0.2745709828393136
1284,1,0.1440809968847352,0.5,0,14.159182036888533,0,14.159182036888533,21.07417119354415,0.0332541567695962,0,14.159182036888533,0,14.159182036888533,171.81640294965797,0.14464425332290853,0,14.159182036888533,0,14.159182036888533,31.55643474480251,0.25565081839438814,0,0,0,0,0,0,0,14.159182036888533,0,14.159182036888533,7.476025148057101,0.2745709828393136
1285,1,0.14396887159533073,0.5,0,14.514835605453088,0,14.514835605453088,22.353455425214396,0.0332541567695962,0,14.514835605453088,0,14.514835605453088,206.33378940207984,0.14464425332290853,0,14.514835605453088,0,14.514835605453088,33.656454339028556,0.25565081839438814,0,0,0,0,0,0,0,14.514835605453088,0,14.514835605453088,7.4442219111687695,0.2745709828393136
1286,1,0.14463452566096424,0.5,0,0,0,0,0,0,1.0,1.0,1.0,1.0,158.60192462927296,0.14463452566096424,0,14.870489174017642,1.0,1.0,32.39558382524472,0.25565081839438814,1.0,1.0,1.0,1.0,20.826337965052467,0.03265940902021773,0,14.870489174017642,0,14.870489174017642,7.347416548028334,0.2744945567651633
1287,1,0.1445221445221445,0.5,0,0,0,0,0,0,0.8553654743390358,1.3553654743390358,0.8553654743390358,1.3553654743390358,161.7719888663782,0.14463452566096424,0.8553654743390358,1.3553654743390358,0.8553654743390358,1.3553654743390358,31.96761337028532,0.25565081839438814,0.8553654743390358,1.3553654743390358,0.8553654743390358,1.3553654743390358,22.286927482159452,0.03265940902021773,0.8553654743390358,1.3553654743390358,0.8553654743390358,1.3553654743390358,7.614046930441908,0.2744945567651633
1288,1,0.14440993788819875,0.5,0,0,0,0,0,0,0.7107309486780715,1.7107309486780715,0.7107309486780715,1.7107309486780715,151.96997710998048,0.14463452566096424,0.7107309486780715,1.7107309486780715,0.7107309486780715,1.7107309486780715,33.006310734027934,0.2554347826086957,0.7107309486780715,1.7107309486780715,0.7107309486780715,1.7107309486780715,22.943204622799232,0.03265940902021773,0.7107309486780715,1.7107309486780715,0.7107309486780715,1.7107309486780715,7.458505253284844,0.2748447204968944
1289,0,0.1442979053529868,0.5,0,0,0,0,0,0,0.5660964230171073,2.0660964230171075,0.5660964230171073,2.0660964230171075,159.287152685489,0.14463452566096424,0.5660964230171073,2.0660964230171075,0.5660964230171073,2.0660964230171075,32.01968347277878,0.2560124127230411,0.5660964230171073,2.0660964230171075,0.5660964230171073,2.0660964230171075,21.601495760366888,0.03265940902021773,0.5660964230171073,2.0660964230171075,0.5660964230171073,2.0660964230171075,7.756926651102972,0.2748447204968944
1290,0,0.14418604651162792,0.5,0,0,0,0,0,0,0.42146189735614303,2.421461897356143,0.42146189735614303,2.421461897356143,162.18890095017343,0.14463452566096424,0.42146189735614303,2.421461897356143,0.42146189735614303,2.421461897356143,31.406102384363273,0.2560124127230411,0.42146189735614303,2.421461897356143,0.42146189735614303,2.421461897356143,22.86191477558261,0.03265940902021773,0.42146189735614303,2.421461897356143,0.42146189735614303,2.421461897356143,7.593187750940987,0.2748447204968944
1291,1,0.14407436096049575,0.5,0,0,0,0,0,0,0.2768273716951788,2.7768273716951786,0.2768273716951788,2.7768273716951786,198.51125746648088,0.14463452566096424,0.2768273716951788,2.7768273716951786,0.2768273716951788,2.7768273716951786,31.99414116643518,0.2560124127230411,0.2768273716951788,2.7768273716951786,0.2768273716951788,2.7768273716951786,22.24259917816656,0.03265940902021773,0.2768273716951788,2.7768273716951786,0.2768273716951788,2.7768273716951786,7.674144655620175,0.2749806351665376
1292,1,0.14396284829721362,0.5,0,0,0,0,0,0,0.13219284603421455,3.1321928460342146,0.13219284603421455,3.1321928460342146,202.58875882726517,0.14463452566096424,0.13219284603421455,3.1321928460342146,0.13219284603421455,3.1321928460342146,32.22422672427976,0.2561919504643963,0.13219284603421455,3.1321928460342146,0.13219284603421455,3.1321928460342146,20.94641542924253,0.03265940902021773,0.13219284603421455,3.1321928460342146,0.13219284603421455,3.1321928460342146,7.263001840028457,0.2749806351665376
1293,1,0.14462490332559938,0.5,0,0,0,0,0,0,1.0,1.0,1.0,1.0,212.9296530384165,0.14462490332559938,1.0,1.0,1.0,1.0,31.47212656992824,0.2561919504643963,1.0,1.0,1.0,1.0,22.821262886141742,0.03265940902021773,0,3.4875583203732505,0,3.4875583203732505,7.404276585695547,0.2749806351665376
1294,0,0.1445131375579598,0.5,0,0,0,0,0,0,0.8553750966744006,1.3553750966744005,0.8553750966744006,1.3553750966744005,158.58943860473434,0.14462490332559938,0.8553750966744006,1.3553750966744005,0.8553750966744006,1.3553750966744005,34.084311263424176,0.2561919504643963,0.8553750966744006,1.3553750966744005,0.8553750966744006,1.3553750966744005,21.603416372429628,0.03265940902021773,0.8553750966744006,1.3553750966744005,0.8553750966744006,1.3553750966744005,7.400605459388379,0.2749806351665376
1295,0,0.1444015444015444,0.5,0,0,0,0,0,0,0.7107501933488012,1.7107501933488012,0.7107501933488012,1.7107501933488012,151.68736256119064,0.14462490332559938,0.7107501933488012,1.7107501933488012,0.7107501933488012,1.7107501933488012,33.00761705222429,0.2561919504643963,0.7107501933488012,1.7107501933488012,0.7107501933488012,1.7107501933488012,21.89466407471738,0.03265940902021773,0.7107501933488012,1.7107501933488012,0.7107501933488012,1.7107501933488012,7.442871538064301,0.2749806351665376
1296,0,0.14429012345679013,0.5,0,0,0,0,0,0,0.5661252900232019,2.066125290023202,0.5661252900232019,2.066125290023202,148.0837292455481,0.14462490332559938,0.5661252900232019,2.066125290023202,0.5661252900232019,2.066125290023202,32.42308634416438,0.2561919504643963,0.5661252900232019,2.066125290023202,0.5661252900232019,2.066125290023202,22.58631067273855,0.03265940902021773,0.5661252900232019,2.066125290023202,0.5661252900232019,2.066125290023202,7.466703268181532,0.27469135802469136
1297,0,0.14417887432536622,0.5,0,0,0,0,0,0,0.4215003866976025,2.4215003866976024,0.4215003866976025,2.4215003866976024,170.02644941025213,0.14462490332559938,0.4215003866976025,2.4215003866976024,0.4215003866976025,2.4215003866976024,31.556126264519882,0.2561919504643963,0.4215003866976025,2.4215003866976024,0.4215003866976025,2.4215003866976024,21.015208712875122,0.03265940902021773,0.4215003866976025,2.4215003866976024,0.4215003866976025,2.4215003866976024,7.350544908238276,0.27525057825751736
1298,1,0.1440677966101695,0.5,0.2768754833720031,2.776875483372003,0.2768754833720031,2.776875483372003,40.860861662013356,0.03312788906009245,0.2768754833720031,2.776875483372003,0.2768754833720031,2.776875483372003,180.9520819414993,0.14462490332559938,0.2768754833720031,2.776875483372003,0.2768754833720031,2.776875483372003,31.280447272528317,0.2561919504643963,0.2768754833720031,2.776875483372003,0.2768754833720031,2.776875483372003,21.10180651616177,0.03265940902021773,0.2768754833720031,2.776875483372003,0.2768754833720031,2.776875483372003,7.7217819704077835,0.27525057825751736
1299,0,0.1447267128560431,0.5,0.13225058004640378,3.1322505800464038,0.13225058004640378,3.1322505800464038,33.617491836567886,0.03312788906009245,0.13225058004640378,3.1322505800464038,0.13225058004640378,3.1322505800464038,190.0390185850574,0.1447267128560431,0.13225058004640378,3.1322505800464038,0.13225058004640378,3.1322505800464038,30.495177900124187,0.25558121632024633,0.13225058004640378,3.1322505800464038,0.13225058004640378,3.1322505800464038,20.86838646584303,0.03265940902021773,0.13225058004640378,3.1322505800464038,0.13225058004640378,3.1322505800464038,7.600782682488792,0.27525057825751736
1300,0,0.14461538461538462,0.5,0,3.4876256767208043,0,3.4876256767208043,26.506398603352068,0.03312788906009245,0,3.4876256767208043,0,3.4876256767208043,147.5261889058625,0.1447267128560431,0,3.4876256767208043,0,3.4876256767208043,33.48639589936,0.25558121632024633,0,3.4876256767208043,0,3.4876256767208043,22.170485113535065,0.03265940902021773,0,3.4876256767208043,0,3.4876256767208043,7.645212095153194,0.2753846153846154
1301,0,0.1445042275172944,0.5,0,3.8430007733952047,0,3.8430007733952047,22.979941136838708,0.03312788906009245,0,3.8430007733952047,0,3.8430007733952047,156.19506690993245,0.1447267128560431,0,3.8430007733952047,0,3.8430007733952047,33.09570209497288,0.25595695618754805,0,3.8430007733952047,0,3.8430007733952047,22.67090333735554,0.03265940902021773,0,3.8430007733952047,0,3.8430007733952047,7.1632577777472894,0.2753846153846154
